review_profilename,beer_beerid,beer_name,beer_abv,beer_style,review_overall,review_aroma,review_appearance,review_palate,review_taste
jwc215,755,"Carnegie Porter 5,5%",5.5,Baltic Porter,4.5,4.5,4.5,4.5,5.0
LilBeerDoctor,4923,Alleycat Amber,5.5,American Amber / Red Ale,4.0,3.5,4.0,4.0,4.0
soze47,198,Black Butte Porter,5.2,American Porter,4.5,4.0,4.0,5.0,4.5
jampics2,60511,Founders Nemesis 2010,12.0,American Barleywine,3.5,4.0,4.0,4.5,4.5
mjryan,18272,Dernière Volonté,6.5,Belgian Pale Ale,4.0,4.5,4.0,4.0,4.5
jmdrpi,66041,2X Chocolate Porter,7.0,American Porter,3.0,3.0,4.0,3.0,3.0
spinrsx,20470,Stoudt's Double IPA (India Pale Ale),10.0,American Double / Imperial IPA,3.5,3.5,3.5,4.0,4.0
Lunch,61273,11th Hour IPA,6.5,American IPA,3.0,3.0,3.5,3.0,3.0
Derranged,54904,Samuel Adams Noble Pils,4.9,Czech Pilsener,4.0,4.0,3.0,3.5,3.5
oberon,14309,Samuel Adams Chocolate Bock,5.8,Bock,4.5,4.0,4.0,4.0,4.5
getgetgettleman,15881,Tröegs Nugget Nectar,7.5,American Amber / Red Ale,4.5,4.5,4.5,4.0,4.5
bultrey,27371,AleSmith Grand Cru Ale,10.0,Belgian Strong Dark Ale,4.0,4.5,4.0,3.5,4.5
ktrillionaire,62873,Mike,7.6,Dubbel,4.5,4.0,4.0,4.0,4.0
Slatetank,2368,Smuttynose Scotch Style Ale (Big Beer Series),8.2,Scotch Ale / Wee Heavy,4.0,4.0,4.5,4.0,3.5
corby112,57368,Ølfabrikken Gæstebryg #3 - Gunnhilds Kriek Bruin,6.5,Flanders Oud Bruin,3.5,4.0,3.5,3.5,3.5
maximum12,47233,Paradise By The Dashboard Light Doubly Blessed Cherry Porter,7.5,American Porter,3.5,4.0,3.5,3.5,4.0
bret27,54646,Maduro Oatmeal Brown Ale - Christmas Mint,5.5,American Brown Ale,4.0,4.0,4.0,3.0,4.0
johanvond,612,Barbãr (Belgian Honey Ale),8.0,Belgian Strong Pale Ale,3.5,3.5,3.5,4.0,4.0
oregonskibum,54746,Terrapin The Dark Side Belgian Style Imperial Stout,8.5,Belgian Strong Dark Ale,4.0,4.0,3.5,4.0,3.5
mmmbeer,4173,Uncle Teddy's Bitter,4.0,English Bitter,4.0,4.0,4.5,4.5,4.5
canucklehead,41794,Headstrong Munich Lager,5.7,Munich Helles Lager,3.5,3.5,3.5,3.0,3.5
TommyW,62645,Lukcy 13asartd Ale,8.5,American Strong Ale,5.0,3.5,4.0,4.5,4.5
WakeandBake,32941,Short's Cup A Joe Coffee Creme Stout,7.0,American Stout,4.0,4.5,4.0,4.0,4.5
coldmeat23,43171,McNellie's Pub Ale,5.0,English Bitter,4.5,3.5,3.5,4.0,4.5
Bones54,593,Rare Vos (Amber Ale),6.5,Belgian Pale Ale,5.0,4.0,4.5,4.0,4.0
clint1019,25852,Founders Blushing Monk,9.2,Belgian Strong Pale Ale,3.5,3.5,5.0,4.5,3.0
jpm30,18862,Burton Baton,10.0,American Double / Imperial IPA,4.0,4.0,3.5,4.0,4.5
IronLover,2264,Brown Shugga',9.99,American Strong Ale,4.0,4.0,4.5,4.5,4.5
Heischman,88,Stone IPA (India Pale Ale),6.9,American IPA,3.5,4.0,4.0,4.5,4.0
BryanCarey,1075,Shiner Blonde,4.4,American Pale Lager,3.5,2.5,2.0,3.5,2.5
blitheringidiot,10309,MacTarnahan's Gran Luxe Tripel Ale,9.3,Tripel,1.0,2.0,3.5,1.0,2.0
Neehan,3457,Three Philosophers Belgian Style Blend (Quadrupel),9.8,Quadrupel (Quad),3.5,4.0,4.5,5.0,4.0
barefootbrewer,2011,Hofbräu Oktoberfestbier,6.3,Märzen / Oktoberfest,4.0,3.0,3.5,4.0,4.0
beerthulhu,4558,California Blonde Ale,5.62,American Blonde Ale,4.0,4.0,4.0,4.0,4.0
becktone,7531,Tröegs Mad Elf,11.0,Belgian Strong Dark Ale,3.5,3.5,4.0,3.5,3.5
scott,40058,Choklat,11.0,American Double / Imperial Stout,1.5,3.5,4.5,3.0,2.0
LeTonneau,3568,Fumisterie,5.5,Herbed / Spiced Beer,4.0,4.5,4.0,4.5,4.0
copasetic,18862,Burton Baton,10.0,American Double / Imperial IPA,3.5,3.0,4.0,4.0,4.0
joe1510,44409,The Dissident,10.5,Flanders Oud Bruin,4.5,4.0,4.0,4.0,3.5
Jason,2804,St. Peter's Golden Ale,4.7,English Pale Ale,4.5,4.0,3.5,4.0,4.5
Drew966,22387,Lagunitas Imperial Red Ale,7.5,American Strong Ale,4.0,4.5,4.0,4.0,4.0
alldaydrinker,432,Otter Creek Pale Ale,4.6,American Pale Ale (APA),3.0,3.5,4.0,3.0,3.0
slaintemhor,45653,Consecration,10.0,American Wild Ale,4.5,4.0,4.0,4.5,4.5
lordofthewiens,49299,Baby Tree,9.0,Quadrupel (Quad),4.0,4.0,4.0,4.0,4.5
Phyl21ca,1658,Big Bear Black Stout,8.1,American Double / Imperial Stout,3.0,3.0,3.5,3.0,3.5
thryn,32893,Midnight Porter,5.0,American Porter,3.5,4.0,4.5,4.0,3.5
zerk,15053,Trademark Pale Ale,5.7,American Pale Ale (APA),4.0,4.0,4.0,4.0,4.0
alcstradamus,8626,Southampton Berliner Weisse,2.0,Berliner Weissbier,5.0,4.5,4.5,4.0,5.0
zoso1967,28877,Beer Geek Breakfast,7.5,American Double / Imperial Stout,4.0,4.0,5.0,4.0,3.5
slitherySOB,2634,Baltika #3 Classic,4.8,Euro Pale Lager,3.5,3.5,2.5,3.5,3.0
Lexluthor33,27804,Houblon Chouffe Dobbelen IPA Tripel,9.0,Belgian IPA,4.0,4.0,5.0,4.0,4.5
Frozensoul327,1376,Genesee Cream Ale,5.2,Cream Ale,3.5,2.5,3.5,3.0,3.5
tempest,48541,Saranac Helles,4.8,Munich Helles Lager,4.5,3.5,4.0,4.0,4.0
billshmeinke,57912,A Little Sumpin' Wild,9.4,Belgian IPA,4.0,4.0,3.5,4.5,4.0
indiapaleale,299,#9,5.1,Fruit / Vegetable Beer,3.5,3.0,3.0,3.5,3.0
mrmanning,4858,Amsterdam Nut Brown Ale,5.0,English Brown Ale,3.0,3.0,3.0,3.0,3.0
maleman,674,Westmalle Trappist Dubbel,7.0,Dubbel,4.5,4.5,4.5,3.5,4.0
jackorain,39,Alpha King Pale Ale,6.0,American Pale Ale (APA),5.0,4.5,4.5,4.5,4.0
Dizzy,27514,Samuel Adams Brown Ale,5.35,English Brown Ale,2.5,3.0,3.5,2.0,2.0
NeroFiddled,2646,Erdinger Weissbier Pikantus,7.3,Weizenbock,5.0,4.0,4.0,4.5,4.5
Rastacouere,8543,Southampton Imperial Baltic Porter,7.5,Baltic Porter,4.0,4.0,4.5,5.0,4.5
corby112,25489,# 100,10.0,American Barleywine,4.5,4.5,4.5,4.5,4.5
david131,5130,Arbor Brewing Bavarian Bliss,5.6,Hefeweizen,3.5,3.5,3.5,3.0,3.5
mwilbur,33,Maudite,8.0,Belgian Strong Dark Ale,4.5,4.0,4.5,4.5,4.0
gboyd,54571,Tactical Nuclear Penguin,32.0,American Double / Imperial Stout,4.0,4.0,4.0,4.0,4.5
tgbljb,572,"Samuel Smith's, The Famous Taddy Porter",5.0,English Porter,4.5,4.0,4.0,4.0,4.5
gford217,45256,Steel Drivin' Stout,6.0,American Stout,3.5,3.5,4.0,3.5,3.0
mintjellie,40058,Choklat,11.0,American Double / Imperial Stout,4.5,4.0,4.0,4.0,4.0
younger35,10482,Monk's Café Flemish Sour Ale,5.5,Flanders Oud Bruin,4.0,4.0,4.0,4.0,4.0
sholland119,49715,3rd Anniversary Double IPA,10.0,American Double / Imperial IPA,4.0,4.0,4.0,4.0,4.5
jdhilt,46938,Imperial Blonde,6.0,American Blonde Ale,3.5,3.5,3.0,3.5,3.5
ohmybock,7850,The Czar,11.03,Russian Imperial Stout,4.5,2.5,3.5,3.0,3.0
Brad007,188,Smuttynose Maibock (Big Beer Series),8.7,Maibock / Helles Bock,4.0,4.0,4.0,3.5,4.0
IIKaRuII,59192,Chatoe Rogue First Growth OREgasmic Ale,6.0,American Pale Ale (APA),3.5,3.0,4.0,4.0,4.0
philbe311,35720,Festina Pêche,4.5,Berliner Weissbier,4.0,4.0,4.0,4.0,4.0
rebel1771,299,#9,5.1,Fruit / Vegetable Beer,3.0,3.5,3.5,3.0,3.0
n0315,38465,Arbor Brewing Espresso Love,7.5,American Stout,2.0,3.0,3.0,1.0,2.0
MABZ,35404,"Rogue Ten Thousand Brew Ale (Brew 10,000)",10.0,American Double / Imperial IPA,4.5,4.0,3.5,4.0,4.5
BlackJeremiah,30,Trois Pistoles,9.0,Belgian Strong Dark Ale,4.5,4.0,4.0,4.0,5.0
connecticutpoet,26619,Saranac Oatmeal Stout,5.1,Oatmeal Stout,3.5,3.0,3.5,3.5,3.5
jrallen34,56444,Willie,8.7,Scotch Ale / Wee Heavy,3.0,4.0,4.5,4.0,3.5
MrHungryMonkey,14,Witkap Pater Singel / Stimulo,6.0,Belgian Pale Ale,4.5,3.5,4.0,4.0,4.0
Dithyramb,26999,Winter Brew 2005,6.8,American IPA,4.5,4.0,5.0,4.0,4.0
Patg72,33923,North Star,4.0,Irish Dry Stout,3.5,3.0,4.0,4.0,3.5
andjusticeforale,1708,St. Bernardus Abt 12,10.0,Quadrupel (Quad),5.0,4.0,4.0,4.5,4.5
dsa7783,50399,Lion Imperial Premium Malt Pilsner,8.8,Euro Strong Lager,3.0,4.0,3.5,3.5,4.0
djeucalyptus,47440,Claymore Scotch Ale,7.7,Scotch Ale / Wee Heavy,4.0,4.0,4.5,4.5,4.0
soultrain,28305,Smuttynose Farmhouse Ale (Big Beer Series),9.3,Saison / Farmhouse Ale,5.0,3.5,4.0,4.5,4.0
UncleFlip,27804,Houblon Chouffe Dobbelen IPA Tripel,9.0,Belgian IPA,4.5,4.0,4.5,4.0,4.0
barleywinebrewer,9781,Mill Street Coffee Porter,5.5,American Porter,3.5,3.5,4.0,3.5,4.0
kingcrowing,53740,Simple Malt Cascade India Pale Ale,6.4,American IPA,3.0,3.5,4.0,3.5,3.0
BeerLover99,46964,Weizenbock - Beer Camp #37,6.6,Weizenbock,4.0,4.0,3.5,4.0,4.0
BeerPanther,182,Smuttynose Portsmouth Lager,4.5,Vienna Lager,4.5,4.0,4.5,4.0,4.0
hoser,60679,Ise Kaydoya Imperial India Pale Ale,10.0,American Double / Imperial IPA,4.5,4.0,4.0,4.0,4.0
hckyfn9999,1657,XP Pale Ale,5.5,American Pale Ale (APA),4.0,3.5,3.5,3.5,4.0
beanbagg,4307,The Bitter End Pale Ale,5.2,American Pale Ale (APA),3.0,2.5,3.0,4.0,4.0
erz316,232,Corona Extra,4.6,American Adjunct Lager,1.5,1.5,2.0,1.5,2.0
nhindian,7520,Dark Lord Imperial Stout,15.0,Russian Imperial Stout,3.5,3.5,3.5,4.0,3.5
feloniousmonk,336,Millstream Schild Brau Amber,4.9,Vienna Lager,3.5,3.5,4.0,3.0,3.5
zeff80,74491,4 Calling Birds,11.0,Belgian Strong Dark Ale,4.0,4.0,4.0,4.0,4.5
dedrinker,43016,Bad King John,6.0,English Stout,3.5,3.5,3.5,3.0,3.5
BelgianAleSlut,20714,Brasserie Des Rocs Triple Impériale,10.0,Belgian Strong Dark Ale,4.0,4.0,4.5,4.5,4.5
case4816,754,Guinness Draught,4.2,Irish Dry Stout,4.0,3.5,4.0,3.5,4.0
plaid75,133,Ayinger Jahrhundert Bier,5.5,Dortmunder / Export Lager,4.0,4.0,4.0,4.0,4.5
jskoog,4083,Stone Ruination IPA,7.7,American Double / Imperial IPA,5.0,5.0,4.0,4.5,5.0
umustdrink,12443,Apricot Wheat,5.0,Fruit / Vegetable Beer,3.0,3.0,4.5,3.0,3.0
haywire77,64228,Zombie Dust,6.2,American Pale Ale (APA),4.5,4.5,4.0,4.5,4.5
pootz,667,Negra Modelo,5.4,Munich Dunkel Lager,4.0,3.5,3.5,3.5,3.5
Kuromaru,10,Allagash Dubbel Ale,7.0,Dubbel,3.5,3.0,4.5,4.0,3.0
WeisGuy,645,Trappistes Rochefort 10,11.3,Quadrupel (Quad),4.5,5.0,4.5,4.0,5.0
jamie2dope,44093,Allagash Fluxus 2008,8.7,Witbier,3.5,4.0,4.0,4.0,4.0
Mauerhan,1068,Saint Arnold Christmas Ale,7.0,Winter Warmer,4.0,4.0,3.5,3.5,4.0
SkeeterHawk,21802,Black Wheat,5.7,Dunkelweizen,4.0,4.0,4.0,4.5,4.5
IgnatiusReilly,1287,Bell's Porter,5.6,American Porter,4.0,3.5,4.0,4.0,4.0
biglite351,9763,Captain Stout,5.5,American Stout,3.0,4.0,3.5,3.0,3.0
TheDeuce,92,Arrogant Bastard Ale,7.2,American Strong Ale,4.5,4.0,4.5,4.5,4.5
soulgrowl,28331,Kirin Enjuku,6.0,Happoshu,2.5,2.5,3.5,3.0,2.0
DaveJanssen,47673,Black Gold Imperial Stout - Bourbon Barrel Aged (Brewmaster Reserve),11.4,Russian Imperial Stout,4.0,3.5,4.0,3.5,4.0
silentjay,402,SkullSplitter,8.5,Scotch Ale / Wee Heavy,4.0,4.0,4.5,4.0,4.5
glid02,59639,Z Pale Ale,5.9,American Pale Ale (APA),4.0,4.0,4.0,4.0,4.0
bultrey,1144,Perkuno's Hammer Imperial Porter,8.0,Baltic Porter,4.0,4.5,4.5,4.5,4.5
hosehead83,46983,Saison De Lente,6.5,Saison / Farmhouse Ale,4.0,4.0,4.0,4.0,4.0
olympuszymurgus,1003,Golden Monkey,9.5,Tripel,2.0,3.5,4.0,2.5,1.5
arizcards,1472,Big Daddy IPA,6.5,American IPA,3.5,4.0,4.0,4.0,3.5
AgentZero,45764,Dark Apparition,10.5,Russian Imperial Stout,4.5,4.5,4.0,3.0,4.0
1759Girl,53355,Menabrea Ambrata,5.0,Vienna Lager,3.0,4.0,5.0,3.0,2.5
Bubba83,10482,Monk's Café Flemish Sour Ale,5.5,Flanders Oud Bruin,4.0,4.5,4.5,3.0,3.5
woosterbill,58905,St. Amatus 12,10.5,Quadrupel (Quad),4.5,4.5,3.0,4.0,5.0
chriskozma,33336,Atwater Vanilla Java Porter,6.0,American Porter,1.5,3.0,3.0,3.0,1.5
organicbrewer,20232,Terrapin Big Hoppy Monster,8.3,American Amber / Red Ale,3.5,4.0,4.0,4.0,4.0
TheBCrew,58,Allagash Grand Cru,7.2,Quadrupel (Quad),4.0,4.5,4.5,3.5,4.5
MNJR,1371,Labatt Blue,5.0,American Adjunct Lager,3.5,3.0,3.0,3.0,3.5
ADR,9386,Cattail Ale,5.16,English Pale Mild Ale,3.5,3.5,3.0,3.0,3.0
kshankar,38700,Brooklyner-Schneider Hopfen-Weisse,8.5,Weizenbock,4.0,4.0,4.0,4.0,4.5
TheLongBeachBum,25095,Drake's 1500 Pale Ale,5.2,American Pale Ale (APA),5.0,4.5,4.5,4.5,5.0
Thrasher,1130,MacTarnahan's Blackwatch Cream Porter,5.3,American Porter,3.5,3.5,4.0,3.5,4.0
Mitchster,104,Samuel Adams Boston Lager,4.9,Vienna Lager,4.5,4.5,4.5,4.5,4.0
alfistheman,99,Spaten Optimator,7.6,Doppelbock,4.5,5.0,4.5,4.5,4.5
kenito799,1963,Spotted Cow,4.8,Cream Ale,4.0,3.0,4.0,5.0,4.0
mikereaser,22381,Dark Horse Double Crooked Tree IPA,13.6,American Double / Imperial IPA,4.5,4.5,3.0,4.5,4.5
jsavino,2409,Mönchshof Schwarzbier,4.9,Schwarzbier,4.5,3.0,3.5,4.0,4.0
Flashsp2,45849,Ivan The Terrible,10.0,Russian Imperial Stout,4.0,4.5,4.5,4.5,4.5
dancinwillie,44892,Kasteel Triple,11.0,Tripel,3.5,4.0,4.0,3.5,3.5
Mebuzzard,23042,Karma,5.2,Belgian Pale Ale,2.5,4.0,4.0,2.0,2.0
Dogbrick,617,Troubadour Blond Ale,6.5,Belgian Pale Ale,4.0,3.0,3.0,3.0,3.0
MVotter,132,Ayinger Bräu Weisse,5.1,Hefeweizen,4.5,4.5,4.0,4.5,4.5
Vancer,39689,The Physics,5.0,Extra Special / Strong Bitter (ESB),3.5,3.5,3.0,3.0,3.5
russpowell,152,Black Douglas Ale,5.2,Scottish Ale,4.0,3.0,3.5,3.5,3.5
somethingfishy,17141,312 Urban Wheat,4.2,American Pale Wheat Ale,3.5,3.0,2.5,3.0,3.5
MPLS,47692,Night Stalker,11.7,American Double / Imperial Stout,4.5,4.0,4.5,5.0,5.0
BDIMike,27514,Samuel Adams Brown Ale,5.35,English Brown Ale,4.0,4.0,3.5,3.5,3.5
afinepilsner,60064,Samuel Adams Revolutionary Rye Ale,5.5,Rye Beer,3.5,3.5,3.5,3.5,3.5
unknownlamer,703,Murphy's Irish Stout,4.0,Irish Dry Stout,4.0,3.5,5.0,2.5,4.0
williamherbert,6108,60 Minute IPA,6.0,American IPA,4.0,4.5,3.5,4.5,4.0
soupyman10,9086,120 Minute IPA,18.0,American Double / Imperial IPA,4.0,3.5,4.0,4.0,4.0
clvand0,767,Tsingtao,4.8,American Adjunct Lager,2.0,2.0,2.5,2.0,1.5
DogFood11,31672,R.J. King Wingwalker Amber Ale,4.5,American Amber / Red Ale,1.5,2.5,2.0,1.5,2.5
joe1510,27514,Samuel Adams Brown Ale,5.35,English Brown Ale,3.0,3.0,3.0,3.0,3.5
Garin,243,Alba Scots Pine Ale,7.5,Scottish Gruit / Ancient Herbed Ale,4.5,4.0,3.0,4.0,4.0
canucklehead,34432,Tuborg Pilsner,4.9,German Pilsener,3.5,3.5,3.5,3.5,3.5
Thrasher,2333,Colorado Brewing Old Hand,7.6,American Strong Ale,4.0,4.0,3.5,4.5,4.0
JimmieFrisbee,9557,Vacationland Summer Ale,4.9,American Blonde Ale,3.0,2.5,3.5,3.0,2.5
arizcards,28204,Mephistopheles' Stout,16.8,American Double / Imperial Stout,4.0,4.5,4.5,4.5,4.5
AVDeuph,10325,Péché Mortel (Imperial Stout Au Cafe),9.5,American Double / Imperial Stout,3.5,4.0,4.0,3.5,3.5
vette2006c5r,41043,Double Dead Guy Ale,9.0,American Strong Ale,2.0,3.5,3.0,4.0,5.0
UncleJimbo,1542,Lezajsk 1525 Legendary Premium Lager,5.5,Euro Pale Lager,3.0,3.5,3.5,3.0,3.0
Newglarusguy,20604,Hell Hath No Fury Ale,7.7,Belgian Strong Dark Ale,4.0,5.0,4.5,4.0,4.5
GJ40,31323,Hop 15,10.0,American Double / Imperial IPA,4.0,4.5,4.0,4.0,4.0
endincolorado,1160,Stone Imperial Russian Stout,10.5,Russian Imperial Stout,3.5,4.5,4.0,4.0,4.5
bunnyhustle,5757,Leinenkugel's Oktoberfest,5.1,Märzen / Oktoberfest,2.5,2.5,4.0,3.0,3.0
claminat420,88,Stone IPA (India Pale Ale),6.9,American IPA,4.5,4.0,4.0,3.5,4.0
DiabolikDUB,221,Fuller's London Porter,5.4,English Porter,4.5,4.0,4.5,4.0,4.5
FosterJM,2014,The Reverend,10.0,Quadrupel (Quad),4.0,3.5,4.0,3.5,4.0
thetomG,1658,Big Bear Black Stout,8.1,American Double / Imperial Stout,3.5,4.0,5.0,4.0,4.0
Thickfreakness,224,Schneider Aventinus,8.2,Weizenbock,4.0,4.5,3.0,4.0,4.0
Brad007,16814,Heady Topper,8.0,American Double / Imperial IPA,4.5,4.5,4.5,4.5,4.5
cbl2,2425,Bush Beer 7°,7.5,Belgian Strong Dark Ale,4.0,3.0,3.0,4.0,4.0
DIM,46085,Special Holiday Ale,9.0,Winter Warmer,4.0,4.5,4.0,4.0,4.0
MuddyFeet,917,Foster's Special Bitter,5.0,English Bitter,3.5,3.0,3.0,3.5,2.0
femALEist,57912,A Little Sumpin' Wild,9.4,Belgian IPA,4.0,4.5,4.0,4.0,4.0
KarlHungus,36670,Smooth Hoperator,7.0,Doppelbock,3.5,4.0,4.5,4.0,4.0
Loki,79,Wee Heavy,6.5,Scotch Ale / Wee Heavy,5.0,4.5,4.5,5.0,4.5
puboflyons,8951,Oaked Arrogant Bastard Ale,7.2,American Strong Ale,4.5,4.5,4.5,4.0,4.0
rodney45,49838,Squall IPA,9.0,American Double / Imperial IPA,3.0,3.5,4.0,4.0,3.5
Risser09,4106,Gouden Carolus Classic,8.5,Belgian Strong Dark Ale,4.0,5.0,4.0,4.0,5.0
Gueuzedude,63152,30th Anniversary - Grand Cru,9.2,American Strong Ale,4.0,4.5,5.0,4.5,4.5
ClockworkOrange,7993,Total Eclipse Black Ale,5.6,American Stout,3.5,3.5,3.5,3.0,3.5
LeftyBWS,1792,Great Lakes Nosferatu,8.0,American Strong Ale,4.0,4.0,4.5,3.5,4.5
UncleJimbo,2751,Racer 5 India Pale Ale,7.0,American IPA,4.5,4.0,4.0,4.0,4.5
BearsWin,39,Alpha King Pale Ale,6.0,American Pale Ale (APA),5.0,4.5,5.0,4.5,5.0
koopa,31242,Bière De Mars - Grand Reserve,7.0,Bière de Garde,4.5,5.0,4.0,4.0,4.5
BlackBearForge,69323,Week Sauce Coffee Porter,6.0,American Porter,4.0,4.0,4.0,4.0,4.0
FARGO619,198,Black Butte Porter,5.2,American Porter,4.5,4.5,4.5,4.5,4.5
hoegaardenhero,73,Young's Double Chocolate Stout,5.2,Milk / Sweet Stout,4.0,4.5,4.0,4.0,4.0
SimplySinister,3072,Sea Dog Raspberry Wheat Ale,4.5,Fruit / Vegetable Beer,2.0,3.0,2.5,2.5,2.5
Yesac,60768,Terrapin So Fresh & So Green Green,6.6,American IPA,3.5,3.0,3.5,3.5,2.5
afksports,38488,Harvest Ale,5.6,Extra Special / Strong Bitter (ESB),4.5,4.0,4.5,4.5,4.0
FreshmanPour77,148,Brooklyn Lager,5.2,American Amber / Red Lager,4.0,4.0,4.5,4.0,4.0
jcalabre,6533,Olde School Barleywine,15.04,American Barleywine,3.0,3.0,3.0,3.5,3.5
Onenote81,60565,Scratch Beer 32 - 2010 (Keystone Common),5.4,California Common / Steam Beer,4.0,3.0,3.5,3.5,3.5
DavidST,47465,Shiner Kosmos Reserve,4.98,American Pale Lager,3.5,3.0,3.5,3.5,3.5
Cyberkedi,39872,Kennebunkport IPA,6.2,American IPA,3.0,2.5,3.0,3.0,3.0
avalon07,1910,Frambozen Raspberry Brown Ale,6.5,Fruit / Vegetable Beer,4.0,4.0,4.0,4.0,4.0
TheWhiskerReview,19306,Calabaza Blanca,4.8,Witbier,4.5,4.5,4.0,5.0,5.0
culver501,1093,Two Hearted Ale,7.0,American IPA,4.5,4.5,4.0,4.5,4.5
Kwak,1376,Genesee Cream Ale,5.2,Cream Ale,5.0,4.0,4.0,4.0,4.5
JohnWaynes44,2671,Sierra Nevada Bigfoot Barleywine Style Ale,9.6,American Barleywine,3.0,4.0,4.5,3.5,3.5
mdavis31481,11757,Founders Breakfast Stout,8.3,American Double / Imperial Stout,5.0,4.5,4.5,5.0,5.0
misterscooter,37946,Gordon Biersch Golden Export,5.0,Dortmunder / Export Lager,3.5,3.5,4.0,3.5,3.5
MrDanno96,36812,Michelob Ultra Lime Cactus,4.2,Light Lager,3.5,2.5,3.0,2.5,3.5
somethingfishy,292,Hocus Pocus,4.5,American Pale Wheat Ale,3.0,3.0,3.5,3.5,3.0
cdkrenz,695,Duvel,8.5,Belgian Strong Pale Ale,3.5,4.5,5.0,3.0,3.5
Naerhu,28288,Ultra Ale,6.5,Euro Strong Lager,3.5,3.0,4.0,4.0,3.0
Kegatron,74290,Belgian Rye IPA,6.0,American IPA,4.5,4.0,4.0,4.5,4.0
greenmonstah,76525,The Alchemist / Ninkasi / Stone - More Brown Than Black IPA,7.4,American IPA,4.5,4.5,3.5,4.5,4.0
chiefydawg,2512,Chimay Grande Réserve (Blue),9.0,Belgian Strong Dark Ale,4.0,4.0,3.5,4.5,4.5
JohnnyBarman,305,Spitfire (Premium Ale Export),4.5,English Pale Ale,4.0,5.0,4.0,3.5,3.5
BarrelO,37192,Ayinger Weizenbock,7.1,Weizenbock,4.0,4.5,4.0,4.0,4.0
Distilled10,246,Heineken Lager Beer,5.0,Euro Pale Lager,3.5,2.0,2.0,3.5,3.5
crazydiamond21,356,Imperial Stout,11.0,Russian Imperial Stout,4.0,4.0,5.0,4.0,4.0
MrHurmateeowish,2209,Michelob Marzen,5.1,Märzen / Oktoberfest,4.0,3.5,3.5,3.5,3.5
Zombiedestroyer,17538,Founders Devil Dancer,12.0,American Double / Imperial IPA,4.5,4.0,5.0,4.5,5.0
filabrazilia,7978,Fantôme Saison D'Erezée - Hiver,8.0,Saison / Farmhouse Ale,4.0,4.5,4.5,4.5,4.0
ummswimmin,104,Samuel Adams Boston Lager,4.9,Vienna Lager,3.5,3.5,4.0,4.0,3.5
MasterSki,17038,Kuhnhenn A Few Schillings Too Many,12.5,Scotch Ale / Wee Heavy,4.5,4.0,4.0,4.5,4.0
macster,29078,Steelhead Double India Pale Ale,8.6,American Double / Imperial IPA,4.0,3.5,4.0,3.0,4.0
FtownThrowDown,33467,High Tide Fresh Hop IPA,6.5,American IPA,4.5,4.0,4.0,4.0,3.5
beergod1,39334,Big Eddy Russian Imperial Stout,9.5,Russian Imperial Stout,4.0,4.0,4.5,4.0,4.0
nas5755,40674,Smuttynose Baltic Porter (Big Beer Series),9.0,Baltic Porter,4.5,4.0,4.5,5.0,4.5
mgbickel,4109,Troegenator Double Bock,8.2,Doppelbock,3.5,3.5,3.0,4.0,3.5
northyorksammy,48604,Dry-Hopped India Pale Ale,6.5,American IPA,4.5,4.5,4.0,3.5,4.0
adamette,1711,Kasteel Donker,11.0,Quadrupel (Quad),4.0,4.5,4.0,4.5,5.0
vandemonian,19045,Black Jack Imperial Stout,8.0,Russian Imperial Stout,4.5,4.5,4.5,5.0,4.5
ncfranklin,11757,Founders Breakfast Stout,8.3,American Double / Imperial Stout,4.5,4.0,4.0,4.5,5.0
DoubleJ,63278,Oktoberfest,6.0,Märzen / Oktoberfest,3.0,3.0,2.0,3.5,3.5
Metalmonk,50909,überPils,7.6,American Double / Imperial Pilsner,4.5,4.0,4.0,4.0,4.5
BeerTaster,129,Orval Trappist Ale,6.9,Belgian Pale Ale,4.0,4.0,4.0,4.0,4.5
PintOHops,2280,Miller Genuine Draft,4.66,American Adjunct Lager,2.0,2.0,3.0,3.0,1.5
theboozecruise,2584,Troublette,5.0,Witbier,5.0,4.5,4.0,4.0,4.0
KarlHungus,59,Allagash White,5.2,Witbier,5.0,4.5,4.0,4.0,4.5
GregSVT,6108,60 Minute IPA,6.0,American IPA,4.5,4.0,4.5,4.0,4.0
zdk9,1823,Labatt Blue Light,4.0,Light Lager,2.5,1.0,1.0,2.0,2.0
HappyHourHero,35355,Kitzmann Leichtes Weissbier,2.9,Hefeweizen,5.0,4.0,3.5,4.5,4.0
orangedive,3318,Love Stout,5.0,English Stout,4.5,4.0,3.5,4.0,4.0
northyorksammy,35645,Harpoon Refsvinginge Private Stock (100 Barrel Series #18),7.8,Saison / Farmhouse Ale,5.0,3.5,4.0,4.0,4.0
Matthew,21300,Samuel Adams Black Lager,4.9,Schwarzbier,4.0,3.0,3.5,3.5,3.5
mattsdenney,69363,Stone Belgo Anise Imperial Russian Stout,10.5,Russian Imperial Stout,4.0,4.0,4.5,4.0,4.0
DaveHS,731,Weihenstephaner Hefeweissbier,5.4,Hefeweizen,4.0,4.0,4.0,4.0,4.5
GCBrewingCo,3624,Coopers Extra Strong Vintage Ale,7.5,English Strong Ale,4.0,3.0,1.0,4.0,5.0
Homer7530,20335,Opa Opa IPA,6.0,American IPA,1.5,3.5,4.0,2.0,2.0
Todd,12,Bert Grant's Imperial Stout,6.0,Russian Imperial Stout,4.0,4.0,4.0,4.0,4.5
