review_profilename,beer_beerid,beer_name,beer_abv,beer_style,review_overall,review_aroma,review_appearance,review_palate,review_taste,km_labels
Hunter,20194,Sleighor Double IPA,9.1,American Double / Imperial IPA,2.5,3.5,4.0,2.5,2.5,8
yeahnatenelson,61542,Good AdWeiss,5.4,Hefeweizen,3.5,3.5,3.5,4.0,3.0,0
grub,11922,Titan IPA,7.1,American IPA,4.0,4.0,3.5,4.0,4.5,3
terrabyte,34302,Gold Digger Blonde Ale,4.8,American Blonde Ale,3.5,3.5,3.5,3.5,3.0,0
kmo1030,25852,Founders Blushing Monk,9.2,Belgian Strong Pale Ale,3.5,4.0,4.0,4.0,4.0,5
Beerandraiderfan,1005,HopDevil Ale,6.7,American IPA,4.0,3.5,3.5,4.0,3.5,6
billybob,3677,Tröegs Rugged Trail Nut Brown Ale,4.4,English Brown Ale,3.5,3.5,3.5,4.0,3.5,6
oberon,24019,Schmucker Rosébock,8.0,Maibock / Helles Bock,4.0,4.0,4.5,4.5,4.0,10
Zorro,5936,Tinkov Royal Russian Pilsner,5.0,German Pilsener,3.5,3.0,3.0,3.0,4.0,6
kbub6f,2731,Young's Waggledance Honey Ale,5.0,English Pale Ale,4.0,3.0,4.0,3.0,3.5,0
TheSevenDuffs,7284,YuleSmith (Summer),8.5,American Double / Imperial IPA,4.0,4.0,4.0,4.5,4.0,3
Metuo,11757,Founders Breakfast Stout,8.3,American Double / Imperial Stout,4.0,5.0,4.5,4.5,4.5,1
Banger530,43357,Gordon Biersch Schwarzbier,4.2,Schwarzbier,3.5,3.5,4.0,3.5,3.0,0
andrewmartin,410,Ruedrich's Red Seal Ale,5.5,American Amber / Red Ale,4.0,4.0,3.5,4.0,4.0,5
Vancer,38636,Montana Trout Slayer Ale,5.0,American Pale Wheat Ale,3.0,2.5,3.5,3.0,2.5,9
zeff80,1777,Arran Blonde,5.0,English Pale Ale,4.0,3.5,3.0,3.5,3.5,6
Slatetank,64887,Scratch Beer 40 - 2010 (IPA #4 Of 4),8.1,American IPA,4.5,4.5,4.0,4.0,4.5,3
GDBEERMAN,55397,Juniper Black Ale (JBA) - Beer Camp #16,8.0,American Black Ale,4.0,4.0,4.5,4.0,4.5,10
squaremile,34306,Pannepot,10.0,Quadrupel (Quad),4.5,3.5,3.5,2.5,3.0,4
shivtim,214,Full Sail Pale Ale,5.4,American Pale Ale (APA),3.0,3.0,4.0,3.0,3.0,4
mynie,46357,Cruising With Ruben & The Jets,8.6,American Double / Imperial Stout,4.0,3.5,3.0,4.0,4.0,6
hwwty4,1309,Alaskan Amber,5.3,Altbier,4.5,4.0,3.5,3.5,4.0,5
Riggo,912,Berkshire Ale Traditional Pale Ale,6.3,American Pale Ale (APA),4.0,4.5,5.0,4.0,4.0,10
allengarvin,39908,Shock Top Belgian White,5.2,Witbier,3.0,4.0,3.5,3.5,3.0,0
Backer2004,6108,60 Minute IPA,6.0,American IPA,4.0,4.5,4.5,3.5,4.5,10
joehop67,2751,Racer 5 India Pale Ale,7.0,American IPA,4.0,4.0,4.0,3.5,5.0,3
SuperNova777,50846,Black Butte XXI,11.0,American Porter,4.5,4.5,4.5,4.5,4.5,1
francisweizen,811,Bass Pale Ale,5.0,English Pale Ale,4.0,3.5,4.0,3.5,4.0,7
thagr81us,199,Immort Ale,11.0,American Strong Ale,4.0,4.0,3.5,4.0,4.0,5
hanco005,2296,Moose Drool Brown Ale,5.1,American Brown Ale,4.0,4.0,4.0,3.5,4.0,5
xnicknj,68179,Pepin The Short Porter,5.8,American Porter,3.5,3.5,3.0,3.0,3.0,4
Greywulfken,402,SkullSplitter,8.5,Scotch Ale / Wee Heavy,4.5,4.0,4.5,4.0,4.0,10
FacistCannonBall,54904,Samuel Adams Noble Pils,4.9,Czech Pilsener,4.5,4.0,4.0,4.5,4.0,3
rlee1390,47785,Samuel Adams Double Bock (Imperial Series),9.5,Doppelbock,4.0,3.5,3.5,4.0,4.0,7
timtim,19667,Heavy Seas - Peg Leg (Imperial Stout),8.0,Russian Imperial Stout,3.0,3.0,3.5,3.0,3.0,4
callisbeers,55002,Irish Walker,10.14,English Barleywine,3.5,3.5,4.0,3.5,4.0,0
AlCaponeJunior,51554,Explicit APA,5.4,American Pale Ale (APA),3.0,4.0,3.0,3.0,3.5,4
BeerBuilder,22025,Fallen Angel Abbey Ale,10.5,Belgian Strong Dark Ale,4.0,4.0,3.5,3.5,3.5,5
Cyberkedi,1565,Andygator,8.0,Maibock / Helles Bock,4.0,4.0,3.5,4.5,4.0,3
granite,6072,Ye Olde Kilt Tilter,9.0,Scotch Ale / Wee Heavy,4.0,4.0,4.0,3.0,4.0,5
ckollias,13450,Thomas Jefferson's Tavern Ale,8.0,English Strong Ale,3.5,2.5,3.5,4.0,4.0,6
BuckeyeNation,209,Ridgeline Amber Ale,5.4,Scottish Ale,4.0,3.5,4.0,4.0,4.0,7
Grandwazoo,40064,Lumpy Gravy,7.2,American Brown Ale,3.5,3.5,4.0,4.0,3.5,0
Arbitrator,46609,Cascade Mouton Rouge,7.0,Flanders Red Ale,4.0,4.0,3.0,3.0,4.0,6
dedrinker,38298,Green's Quest,8.5,Belgian Strong Pale Ale,3.5,2.5,2.5,2.0,2.0,9
Reed415,1621,Stoudt's Weizen,4.9,Hefeweizen,3.5,3.0,4.0,3.5,3.0,0
mschofield,293,Old Thumper ESA,5.9,Extra Special / Strong Bitter (ESB),3.0,4.0,3.5,3.0,3.5,4
SurlyDuff,2321,Fat Weasel Ale,7.1,American Strong Ale,3.5,3.0,3.5,3.0,3.0,4
puboflyons,44283,Leinenkugel's Fireside Nut Brown,4.9,Euro Dark Lager,3.0,3.5,3.5,3.0,2.5,4
Chickenhawk9932,622,Smuttynose Robust Porter,5.7,American Porter,4.5,4.0,4.0,4.5,4.5,3
Zraly,7531,Tröegs Mad Elf,11.0,Belgian Strong Dark Ale,3.0,4.0,3.5,3.5,4.5,5
WesWes,5423,Gouden Carolus Tripel,9.0,Tripel,4.0,4.0,4.0,4.0,4.0,5
brewdlyhooked13,14618,Ho Ho Ho Magic Dubbel,7.5,Dubbel,1.5,2.0,3.5,4.0,2.5,8
mattster,28204,Mephistopheles' Stout,16.8,American Double / Imperial Stout,4.0,4.5,4.0,4.5,4.5,3
Scotchboy,837,Coors Light,4.2,Light Lager,1.5,2.0,2.0,2.5,2.0,2
Kemmerlin,282,Sierra Nevada Wheat Beer,4.4,American Pale Wheat Ale,4.0,4.5,4.0,3.5,4.0,5
CoolJosh,40491,Veritas 003,8.0,American Wild Ale,4.5,4.0,4.0,4.0,4.5,3
MississaugaMatt,7270,Haymaker,5.0,English Pale Ale,3.5,4.0,3.5,3.5,4.0,5
mgdeth,11922,Titan IPA,7.1,American IPA,4.5,4.0,3.5,4.0,4.5,3
OldRaysputin,1696,Trappistes Rochefort 8,9.2,Dubbel,4.0,4.0,3.5,4.0,4.0,5
mtstatebeer,13231,Mönchshof Bockbier,6.9,Bock,3.0,3.0,3.0,3.0,3.5,4
rallison,1960,Grand Cru Winter Reserve,7.2,Belgian Strong Pale Ale,3.5,3.5,3.5,4.0,4.0,6
shuntstout,1716,Avec Les Bons Voeux,9.5,Saison / Farmhouse Ale,5.0,5.0,5.0,5.0,5.0,1
RblWthACoz,2299,Brewhouse Brown Ale,5.4,English Brown Ale,3.5,4.0,4.0,3.5,3.5,0
wbfarr,21822,Founders Imperial Stout,10.5,Russian Imperial Stout,4.0,3.5,4.5,4.0,4.5,7
Absumaster,40740,Eem Blond (for Brouwerij De Eem),6.2,Belgian Pale Ale,4.0,3.5,4.0,4.0,3.5,7
BrianOhio,26667,Smuttynose Winter Ale,5.1,Dubbel,3.5,3.0,3.0,2.5,3.5,4
Beejay,57285,Guinness Black Lager,4.5,Euro Dark Lager,3.0,3.0,3.5,3.0,3.0,4
smakawhat,19736,Duck-Rabbit Porter,5.7,American Porter,3.5,3.0,4.0,4.0,3.5,0
Damian,34833,LongShot Old Ale,10.6,Old Ale,4.5,4.5,4.0,3.5,4.5,3
ludachris,5047,Headstrong Pale Ale,5.2,English Pale Ale,4.0,4.0,4.0,4.0,3.5,5
velosuds,1446,Hibernation Ale,8.7,Old Ale,4.5,3.5,4.0,3.5,4.0,7
ADZA,14874,Primator Dark Lager,4.8,Euro Dark Lager,3.5,4.0,4.0,3.0,3.5,0
allergictomacros,1003,Golden Monkey,9.5,Tripel,4.0,3.5,2.5,3.5,4.0,6
Digimaika2,49983,Flying Monkeys Hoptical Illusion,5.2,American Pale Ale (APA),4.0,4.5,4.5,4.0,4.0,10
JayS2629,36087,Moa Blanc,5.5,Witbier,3.5,3.5,3.5,3.5,4.0,6
JonathanCrites,17492,Saint Arnold Elissa IPA,6.6,American IPA,4.0,4.0,3.5,3.5,4.0,5
Opethsprite,65,Budweiser,5.0,American Adjunct Lager,2.0,1.5,2.5,1.0,1.5,2
Mardukk,287,Summer Ale,5.1,American Pale Ale (APA),2.0,2.0,2.0,2.0,2.0,2
jjayjaye,4629,Rabbid Rabbit,7.4,Saison / Farmhouse Ale,4.5,4.0,4.0,4.0,4.0,3
champ103,310,Harpoon Winter Warmer,5.5,Winter Warmer,2.5,2.5,3.0,3.5,3.0,9
brsett,356,Imperial Stout,11.0,Russian Imperial Stout,2.0,4.0,5.0,5.0,2.5,0
ToasterChef,62197,Scarlet Sunset,6.2,Smoked Beer,4.0,4.0,4.0,4.0,4.0,5
KAP1356,20539,Stoudt's Fat Dog (Imperial Oatmeal Stout),9.0,American Double / Imperial Stout,4.0,3.5,3.5,3.5,4.0,6
lunchbox704,60420,Sierra Nevada Tumbler Autumn Brown Ale,5.5,American Brown Ale,4.0,3.0,4.0,4.5,4.0,7
Beastdog75,27514,Samuel Adams Brown Ale,5.35,English Brown Ale,3.0,3.5,4.0,3.0,3.5,0
jhoban19,56761,30th Anniversary - Fritz And Ken's Ale,9.2,American Double / Imperial Stout,5.0,4.5,5.0,4.5,4.5,1
taulpepper,38394,Pumking,8.6,Pumpkin Ale,4.0,4.5,3.0,3.0,4.0,5
BeerFMAndy,5385,Dark Horse Crooked Tree IPA,6.0,American IPA,4.0,4.5,3.5,4.0,4.0,5
brentk56,28549,Spring Brew 2006,8.5,American Double / Imperial Pilsner,4.0,4.0,4.0,4.0,4.0,5
IntriqKen,944,Ruth,5.6,American Pale Ale (APA),4.0,4.5,3.0,3.5,4.5,5
dacrza1,310,Harpoon Winter Warmer,5.5,Winter Warmer,2.0,1.5,4.0,2.5,2.0,8
NorCalYeti,23506,Summer Solstice Cerveza Crema,5.6,Cream Ale,3.5,3.0,3.0,3.5,3.5,6
feloniousmonk,332,Miller Lite,4.17,Light Lager,3.5,2.5,2.0,3.0,2.5,9
Crosling,226,Great Lakes Edmund Fitzgerald Porter,5.8,American Porter,3.0,3.0,4.0,3.5,3.5,0
AndrewMcLemore,9584,Celis Grand Cru,8.0,Belgian Strong Pale Ale,4.0,3.0,2.5,3.0,3.5,6
ArrogantB,32584,Hop Head Ale,6.2,American IPA,3.5,2.5,4.0,4.0,3.0,0
DanJan,73865,Scratch Beer 49 - 2011 (Fresh Hop Ale),7.2,American IPA,3.5,3.5,3.0,3.5,3.5,6
rhinos00,44929,Highland Imperial Black Mocha Stout,9.5,American Double / Imperial Stout,4.0,4.0,4.0,4.0,3.5,5
MississaugaMatt,10298,Côte Des Argoulets,5.5,Hefeweizen,2.0,2.0,2.0,2.5,2.0,2
Jarod,2755,Pacífico,4.8,American Adjunct Lager,4.0,3.0,3.0,3.0,3.5,6
WesWes,945,Adam,10.0,Old Ale,4.5,4.5,4.0,5.0,4.0,3
OldFrothingSlosh,27249,Duck-Rabbit Rabid Duck,10.0,Russian Imperial Stout,4.5,4.5,4.0,4.0,4.0,3
DogFood11,26935,Warm Welcome,6.0,English Brown Ale,4.0,3.5,2.5,3.0,4.0,6
Hunter,2498,Cherish Kriek Lambic,5.0,Lambic - Fruit,4.0,4.5,3.5,4.0,4.0,5
jsh420,1716,Avec Les Bons Voeux,9.5,Saison / Farmhouse Ale,4.0,4.5,4.0,3.5,4.0,5
scott451,2197,Holsten Premium,5.0,German Pilsener,3.5,3.0,3.0,3.0,3.5,4
theozag,607,Fat Tire Amber Ale,5.2,American Amber / Red Ale,2.0,2.0,2.5,2.5,2.5,2
onix1agr,72138,Stone 15th Anniversary Escondidian Imperial Black IPA,10.8,American Black Ale,4.0,3.5,4.0,4.5,4.0,7
SpecialK088,31731,Michelob Porter,5.9,American Porter,2.0,3.0,4.0,3.0,2.5,8
iheartsheafstout,1661,Doppel-Hirsch,7.2,Doppelbock,4.5,3.5,3.0,4.0,4.0,6
WVbeergeek,56400,Samuel Adams Wee Heavy (Imperial Series),10.0,Scotch Ale / Wee Heavy,3.5,4.0,4.0,4.0,3.5,0
Rifugium,66161,Red Banshee,5.3,American Amber / Red Ale,3.5,3.5,4.0,3.5,4.0,0
steve8robin,27857,Old Leghumper,6.7,American Porter,3.5,4.0,4.0,3.0,3.5,0
Litterbean,9689,White Rascal,5.6,Witbier,4.0,4.0,4.5,3.5,3.5,10
marcobrau,34688,Long Hammer IPA,6.5,American IPA,4.0,3.5,4.0,3.0,3.5,0
Rantingfury,74123,Snow Day Winter Ale,6.2,American Black Ale,4.0,4.0,4.0,4.0,4.0,5
shirfan,2035,Wizard's Winter Ale,6.3,English Strong Ale,4.0,4.0,3.5,3.5,4.0,5
bump8628,30282,Brother Thelonious,9.4,Belgian Strong Dark Ale,4.0,4.0,4.0,4.0,4.0,5
EssexAleMan,276,Sierra Nevada Pale Ale,5.6,American Pale Ale (APA),5.0,3.5,4.5,4.0,4.5,7
Kakaraht,50907,Riptide Pale Ale,5.0,American Pale Ale (APA),3.5,3.0,3.0,3.0,3.0,4
OakedCanuck,17900,Short's Huma-Lupa-Licious IPA,6.9,American IPA,4.0,4.0,4.0,3.5,4.0,5
tsauce2,16376,Corne Du Diable,6.5,American IPA,3.5,4.5,3.5,3.5,4.0,5
bort11,1275,McEwan's Scotch Ale,8.0,Scotch Ale / Wee Heavy,3.5,3.5,3.5,4.0,3.5,6
kmeves,45482,Picnic Ants,8.0,Saison / Farmhouse Ale,3.0,2.5,3.0,2.0,3.0,9
justfranks,12013,Yeti Imperial Stout,9.5,Russian Imperial Stout,5.0,4.5,4.5,5.0,4.0,1
rowew,43181,Marble IPA,6.2,American IPA,4.5,4.0,3.5,3.0,4.0,5
UncleJimbo,32803,Hummel Pils,4.9,German Pilsener,5.0,4.0,4.5,4.5,4.5,1
karst,1965,Heavy Handed IPA,6.7,American IPA,3.5,4.0,3.5,3.5,3.5,0
AtLagerHeads,3329,The Red MacGregor,4.0,Scottish Ale,4.0,3.0,4.0,4.0,4.0,7
hawks10,680,Brooklyn Black Chocolate Stout,10.0,Russian Imperial Stout,3.0,3.5,4.0,3.5,3.0,0
StayWounded,55099,Laughing Skull Amber Ale,5.7,American Amber / Red Ale,3.0,3.0,3.0,3.0,2.5,9
stopbarking,1116,De Dolle Dulle Teve (Mad Bitch),10.0,Tripel,3.5,4.0,4.0,4.0,4.5,5
TheLongBeachBum,623,Boont Amber Ale,5.8,American Amber / Red Ale,4.0,3.5,4.0,4.0,4.0,7
optimator13,47364,Samuel Adams Blackberry Witbier,5.5,Witbier,4.0,4.0,4.0,4.0,4.0,5
kkipple,14486,Saranac Golden Pilsener,5.1,German Pilsener,4.0,3.5,3.0,3.0,3.0,4
TempestJones,10672,Bourbon County Brand Stout,14.5,American Double / Imperial Stout,4.5,5.0,4.5,5.0,5.0,1
unclejazz,65367,Dubbel Down,7.4,Dubbel,4.0,4.0,3.5,4.5,3.5,5
chaz410,30625,Twin Sisters Double IPA,9.0,American Double / Imperial IPA,3.5,3.5,4.0,3.5,3.0,0
peabody,46809,Flashback Ale,6.88,American Brown Ale,4.5,4.0,4.0,3.5,4.0,5
Kiwano,1790,Peroni Nastro Azzurro,5.1,Euro Pale Lager,2.5,2.0,2.0,2.0,2.0,2
JTahoe,71292,Catcher In The Double Ryenbow,8.0,American Double / Imperial IPA,4.0,3.5,4.0,4.0,4.5,7
nicnut45,4786,Weltenburger Kloster Barock-Hell,5.6,Munich Helles Lager,4.0,3.5,4.5,5.0,3.5,7
JoeBCBC,34,La Fin Du Monde,9.0,Tripel,3.5,2.5,4.0,3.5,4.0,7
MbpBugeye,52933,Hudy 14-K,4.4,American Pale Lager,4.5,4.0,1.5,3.5,4.5,6
CHADMC3,36185,Backburner (Imperial Barley Wine Style Ale),9.6,American Barleywine,4.0,4.0,3.5,4.0,4.5,3
todd1,2299,Brewhouse Brown Ale,5.4,English Brown Ale,3.5,3.5,4.0,3.5,3.5,0
Manoftyr,10,Allagash Dubbel Ale,7.0,Dubbel,4.5,3.5,4.0,4.0,4.0,7
sliverX,39965,Blackbeerd Imperial Stout,9.3,Russian Imperial Stout,4.0,3.5,4.0,4.0,4.0,7
Risser09,36,Traquair House Ale,7.2,Scotch Ale / Wee Heavy,4.5,5.0,4.0,4.0,4.5,3
BadBadger,448,Allagash Tripel Ale,9.0,Tripel,4.5,4.0,4.5,4.5,4.5,1
expatsteve,1346,Chimay Tripel (White),8.0,Tripel,4.0,4.5,4.5,3.5,4.0,10
skylab,1967,Baltika #9 Extra (Strong),8.0,Euro Strong Lager,4.0,4.0,3.5,2.5,3.5,4
dball,25755,Heavy Seas - Loose Cannon (Hop3 Ale),7.25,American IPA,4.0,5.0,4.0,4.5,4.5,3
auntfloyd,33837,2006 Christmas Ale,6.5,Winter Warmer,4.0,4.0,3.5,4.0,4.0,5
feloniousmonk,674,Westmalle Trappist Dubbel,7.0,Dubbel,4.5,4.5,5.0,5.0,5.0,1
emmasdad,67046,Dubhe Imperial Black IPA,9.2,American Black Ale,4.0,4.0,4.5,3.5,4.0,10
kwjd,55987,Green Line Pale Ale,5.0,American Pale Ale (APA),4.0,4.0,3.5,4.0,3.5,5
HopDerek,44755,Harpoon Leviathan - Imperial IPA,10.0,American Double / Imperial IPA,3.5,4.0,4.5,4.5,4.0,10
Thorpe429,33205,Fisherman's Pumpkin Stout,7.0,Pumpkin Ale,4.5,4.0,4.0,4.5,4.0,3
FeDUBBELFIST,21683,Cantillon Cuvée Des Champions,5.0,Gueuze,2.0,2.5,4.5,2.0,3.0,8
sitarist,9344,Brunehaut Tradition Ambrée,6.5,American Amber / Red Ale,3.5,4.0,4.0,3.0,3.0,0
changeup45,788,Brooklyn Pilsner,5.1,German Pilsener,3.5,3.5,3.0,3.5,4.0,6
mbudner,17112,Bell's Hopslam Ale,10.0,American Double / Imperial IPA,5.0,5.0,4.5,4.5,5.0,1
litheum94,3916,AleSmith IPA,7.25,American IPA,3.5,3.5,3.5,4.0,4.0,6
goodbyeohio,6073,Merry Monks' Ale,9.3,Tripel,1.0,2.5,2.0,1.5,1.5,2
1fastz28,1075,Shiner Blonde,4.4,American Pale Lager,3.5,3.0,2.0,3.0,3.0,9
megahurts4,2493,Saison De Silly,5.3,Saison / Farmhouse Ale,3.0,4.0,3.0,3.0,3.5,4
abrand,43169,Quatre-Centième Brassin Commémoratif,7.5,Belgian Strong Pale Ale,3.0,3.0,4.0,3.5,3.5,0
ktrillionaire,2434,Erdinger Weissbier,5.6,Hefeweizen,3.5,3.0,3.0,3.0,3.5,4
vdubmatt,6590,Hazed & Infused,4.85,American Pale Ale (APA),4.0,4.0,3.0,3.5,3.5,6
drabmuh,75013,Firestone 15 - Anniversary Ale,12.5,American Strong Ale,3.5,3.5,3.5,3.5,3.5,0
BradLikesBrew,54076,Fade To Black Volume 1 - Foreign Export Stout,8.5,Foreign / Export Stout,4.5,4.0,4.0,4.5,4.0,3
Mit,54904,Samuel Adams Noble Pils,4.9,Czech Pilsener,3.0,3.5,3.0,4.0,3.5,6
mralphabet,36594,Wailua Wheat,5.4,American Pale Wheat Ale,3.0,3.0,3.0,3.0,3.0,4
tronester,43341,Southampton Altbier,5.0,Altbier,5.0,4.0,4.5,4.0,4.0,10
whoneeds8,55982,8-4-1 Expedition,9.5,American Strong Ale,3.0,2.5,4.0,3.5,3.0,4
Gmann,32708,Fantôme BBB Dark White,4.0,Saison / Farmhouse Ale,3.5,3.5,4.0,4.0,3.5,0
cameraman,266,Kingfisher Premium Lager,4.8,American Pale Lager,2.0,2.5,2.0,2.0,1.5,2
doerickson,2258,Archer's Ale,5.31,English Pale Ale,3.0,3.5,4.0,3.0,3.5,0
tempest,635,Pauwel Kwak,8.4,Belgian Strong Pale Ale,4.0,3.5,4.0,4.0,3.5,7
binnysbrat,1493,Sweetwater IPA,6.3,American IPA,4.5,4.5,4.5,4.5,4.5,1
bluejacket74,1826,Wells Bombardier (English Premium Bitter),5.2,Extra Special / Strong Bitter (ESB),4.0,3.0,3.5,3.0,3.5,6
wordemupg,8045,Trappist Achel 8° Bruin,8.0,Dubbel,4.0,4.5,5.0,4.0,4.0,10
flyerzrule,27802,Farmington River Brown Ale,5.5,American Brown Ale,3.0,3.0,3.0,3.0,2.5,9
northyorksammy,14368,Old Man (Winter Ale),7.7,Old Ale,4.0,4.0,3.5,4.0,4.0,5
beerthulhu,15881,Tröegs Nugget Nectar,7.5,American Amber / Red Ale,5.0,4.5,4.0,4.0,5.0,1
dukedevil0,50081,Jai Alai IPA - Cedar Aged (Humidor Series),7.5,American IPA,4.0,4.5,4.0,4.5,4.5,3
Klym,9879,Yeti Special Export,7.0,American Malt Liquor,2.0,3.0,2.5,2.0,2.0,2
484dan,43010,Holy Mackerel Special Golden Ale,8.5,Belgian Strong Pale Ale,3.0,2.5,3.0,3.0,2.5,9
plaid75,31992,La Route Des Indes,6.0,American IPA,3.5,4.0,3.5,4.0,3.5,5
beeroclock,27514,Samuel Adams Brown Ale,5.35,English Brown Ale,4.0,3.0,3.5,3.0,3.5,6
spratmi,34085,Green Flash Imperial India Pale Ale,9.4,American Double / Imperial IPA,4.0,4.0,4.5,4.0,4.5,10
alleykatking,47210,Arcadia Sky High Rye,6.0,Rye Beer,4.0,3.0,3.5,4.5,4.0,7
nrbw23,57341,Heavy Seas - Märzen,5.75,Märzen / Oktoberfest,2.0,2.5,2.5,3.5,2.0,9
MaltyGoodness,30269,Hefeweizen,3.8,Hefeweizen,3.5,3.5,3.5,3.0,3.0,4
tai4ji2x,7531,Tröegs Mad Elf,11.0,Belgian Strong Dark Ale,4.0,4.0,3.5,4.0,4.0,5
treehugger02010,2280,Miller Genuine Draft,4.66,American Adjunct Lager,3.0,3.5,2.5,3.5,2.0,9
hwwty4,8695,Fireman's #4,5.1,American Blonde Ale,3.0,2.5,3.5,3.0,2.5,9
BBP,1672,Bornem Triple,9.0,Tripel,4.5,3.5,4.5,4.0,3.5,7
Jeffo,32941,Short's Cup A Joe Coffee Creme Stout,7.0,American Stout,3.5,4.0,3.5,3.5,3.0,0
frazbri,22352,Maharaja,10.3,American Double / Imperial IPA,3.5,4.5,4.5,4.5,4.0,10
Bighuge,3523,Éphémère (Apple),5.5,Fruit / Vegetable Beer,4.0,4.5,4.0,4.5,4.0,3
Antilochus,12305,Adnams Broadside Strong Original,6.3,English Strong Ale,3.0,4.5,5.0,3.5,3.5,0
drumrboy22,1882,Rodenbach Classic (Red),5.2,Flanders Red Ale,4.0,4.0,4.0,4.0,3.5,5
GarthDanielson,40891,Epic IPA,6.5,American IPA,4.0,4.0,3.5,4.0,4.0,5
bowersdm,41092,Black (黑),17.5,American Double / Imperial Stout,1.5,2.5,3.5,4.5,2.0,8
EPseja,6072,Ye Olde Kilt Tilter,9.0,Scotch Ale / Wee Heavy,5.0,4.0,3.5,5.0,4.5,3
JoeyBeerBelly,67230,Ovila Abbey Saison,7.0,Saison / Farmhouse Ale,4.0,4.0,4.0,4.0,4.0,5
xylophonica,1602,Bush Ambrée,12.0,Belgian Strong Pale Ale,4.0,3.5,4.0,4.0,4.5,7
tigg924,2666,Portsmouth Düsseldorf Alt,5.5,Altbier,4.0,3.5,4.0,4.0,4.0,7
Pencible,56756,Full Sail Hop Pursuit (Brewmaster Reserve),6.0,American Pale Ale (APA),4.0,3.5,4.0,3.5,4.0,7
bminus,17193,Hamm's Special Light,4.1,Light Lager,2.5,1.5,1.5,2.0,1.5,2
dannyac,355,Dead Guy Ale,6.5,Maibock / Helles Bock,5.0,4.0,4.5,4.0,4.5,1
jctribe25,48505,Victory At Sea Coffee Vanilla Imperial Porter,10.0,American Porter,4.0,4.5,4.0,4.0,4.5,3
BEERchitect,3952,Summit Hefe Weizen,4.9,Hefeweizen,3.5,3.5,3.0,3.5,3.5,6
BierFan,219,Fuller's ESB,5.9,Extra Special / Strong Bitter (ESB),4.5,4.0,3.0,4.0,4.0,3
Brad007,62989,Sehr Crisp Pilsner,5.4,German Pilsener,4.5,4.5,4.0,4.5,4.0,3
Huhzubendah,5232,Brewer's Alley Hefe-Weizen,4.6,Hefeweizen,4.5,4.0,4.5,4.0,4.0,10
EatsTacos,23530,Misty Law,4.0,English Pale Ale,4.0,3.0,3.5,4.0,3.5,6
ZeroSignal,20536,Phin & Matt's Extraordinary Ale,5.4,American Pale Ale (APA),3.5,3.5,4.0,3.5,4.0,0
Greggy,1751,O'Hara's Irish Stout,4.3,Irish Dry Stout,4.0,4.0,4.5,3.5,3.5,10
Mora2000,51770,Texels Wit,5.0,Witbier,3.0,3.5,4.0,3.5,3.0,0
cadizkyguy,44377,Mild Winter,5.6,Rye Beer,4.5,4.0,5.0,4.5,4.5,1
JRed,1946,Franziskaner Hefe-Weisse,5.0,Hefeweizen,4.0,4.0,4.5,3.5,4.0,10
lawaaaw,62185,Timmermans Strawberry,4.0,Lambic - Fruit,3.5,5.0,3.0,4.0,3.0,5
Rennpferd,1666,Zywiec Beer,5.7,Euro Pale Lager,4.0,4.0,3.0,4.0,4.0,6
wnhay,25603,Belgian IPA,6.0,Belgian IPA,3.5,3.5,4.5,3.5,3.5,0
biegaman,12480,Live Organic,4.6,English Bitter,4.0,4.0,3.0,3.5,4.0,6
Thorpe429,66573,Jaded (Import Series Vol. #3),10.0,Belgian Strong Dark Ale,4.0,4.5,4.5,4.0,4.0,10
Gueuzedude,4924,Kriek De Ranke,7.0,Lambic - Fruit,4.0,4.5,4.5,4.0,4.5,10
jcharlesmith,2296,Moose Drool Brown Ale,5.1,American Brown Ale,3.0,3.0,4.0,2.0,3.5,4
Vengeance526,38459,Bam Noire,4.3,Saison / Farmhouse Ale,3.5,4.0,4.0,3.5,4.0,5
chinchill,310,Harpoon Winter Warmer,5.5,Winter Warmer,3.0,3.5,3.5,2.5,3.0,4
pinotboy007,4394,Smuttynose Big A IPA (Big Beer Series),9.6,American Double / Imperial IPA,3.5,4.0,3.5,4.0,4.0,5
ClockworkOrange,147,Brooklyn East India Pale Ale,6.8,English India Pale Ale (IPA),4.0,3.5,4.0,3.5,4.0,7
n2185,73314,Spike & Jérôme’s Cuvée Délirante (Collaboration Ale),10.03,English Barleywine,4.0,4.0,4.0,4.5,4.0,3
kmpitz2,1157,Honker's Ale,4.2,English Bitter,4.0,4.0,4.0,4.0,4.5,3
jondeelee,40058,Choklat,11.0,American Double / Imperial Stout,4.5,4.5,4.0,4.0,4.5,3
arizcards,47941,Alpha Dog Imperial IPA,8.7,American Double / Imperial IPA,3.5,4.0,4.0,4.0,3.5,0
emmasdad,63543,Mountain Standard Double Black IPA,9.5,American Black Ale,4.0,4.5,5.0,4.0,4.0,10
tjsmith910,35735,Miller Chill,4.1,Light Lager,1.5,3.0,1.5,1.5,1.5,2
atsprings,1093,Two Hearted Ale,7.0,American IPA,5.0,4.5,4.5,4.5,4.5,1
tone77,4108,Tröegs Sunshine Pils,5.3,German Pilsener,3.5,3.5,2.5,3.0,3.0,4
albertjr21,68399,Latitude 48 Deconstructed IPA - Ahtanum,6.0,American IPA,4.0,4.0,4.5,4.0,4.0,10
